,nv,ret,max_d
2023/8/31,1.460700307,0.004257109,0
2023/9/4,1.433668414,-0.018506118,-0.018506118
2023/9/5,1.431980771,-0.00117715,-0.019661484
2023/9/6,1.435220771,0.0022626,-0.01744337
2023/9/7,1.450782381,0.01084266,-0.006789843
2023/9/11,1.453959948,0.002190244,-0.00461447
2023/9/12,1.455183948,0.000841839,-0.003776516
2023/9/13,1.471739599,0.011377016,0
2023/9/14,1.465354674,-0.004338353,-0.004338353
2023/9/15,1.479562048,0.009695519,0
2023/9/18,1.485188908,0.003803058,0
2023/9/19,1.488074908,0.001943187,0
2023/9/20,1.488398031,0.000217142,0
2023/9/21,1.474280031,-0.009485366,-0.009485366
2023/9/22,1.495116749,0.014133487,0
2023/9/25,1.507518749,0.008295004,0
2023/9/26,1.514940148,0.004922924,0
2023/9/27,1.518450148,0.002316923,0
